# Sample size, Mean, explained_variance_score, mean_absolute_error, root_mean_squared_error, r2_score, Margin
9.000000,911929336429.668213,-8929726443222165618688.000000,11599629716292.656250,14276973622709.064453,-26272357206863973974016.000000,1787381499351.577393
18.000000,11.868602,0.768786,163.958792,227.755440,0.745030,1.238150
27.000000,9.524827,0.860444,126.009014,164.981617,0.854649,1.839414
36.000000,7.589864,0.915341,100.625062,138.266511,0.912266,0.566384
45.000000,6.808330,0.927115,90.838727,128.003285,0.923612,0.612119
