# Sample size, Mean, explained_variance_score, mean_absolute_error, root_mean_squared_error, r2_score, Margin
26.000000,8731414990700.097656,-17684788414516569720225792.000000,2992308625371.060547,13163414800710.255859,-18599560897236928638746624.000000,15417215502185.691406
156.000000,12.775383,0.702266,4.969258,8.401961,0.696293,0.968700
286.000000,9.107779,0.836095,3.591901,6.210364,0.833319,0.670027
416.000000,6.460230,0.921601,2.502336,4.302369,0.920633,0.532532
546.000000,6.361811,0.919024,2.457076,4.326100,0.918054,0.457196
676.000000,5.434016,0.944303,2.104934,3.617645,0.943467,0.458632
806.000000,4.686735,0.957666,1.808696,3.134932,0.957229,0.447131
