# Sample size, Mean, explained_variance_score, mean_absolute_error, root_mean_squared_error, r2_score, Margin
9.000000,661047256300.246704,-408287923927148789760.000000,31700668441855.363281,35417297935189.968750,-2053096328856794300416.000000,1295652622283.380371
18.000000,10.040831,0.850949,709.512278,1253.887281,0.833728,3.065806
27.000000,4.247990,0.981794,255.882199,415.063027,0.981130,1.442097
36.000000,3.291323,0.994539,186.118457,287.540345,0.994187,0.582046
45.000000,2.748787,0.996026,154.282849,238.050004,0.995868,0.354187
